timestamp,mob_count,mob_tick_duration_ms
1741200005994,6,0.00
1741200006441,7,0.00
1741200006946,6,0.00
1741200007376,6,0.00
1741200007895,6,0.00
1741200008525,7,0.00
1741200009360,7,0.00
1741200009593,6,0.00
1741200010303,7,0.00
1741200011254,7,0.00
1741200011668,7,0.00
1741200011999,6,0.00
1741200012629,6,0.00
1741200013037,6,0.00
1741200013541,7,0.00
1741200014040,6,0.00
1741200024848,0,0.00
1741200025336,0,0.00
1741200025832,0,0.00
1741200026355,1,0.00
1741200026838,1,0.00
1741200027341,1,0.00
1741200027858,1,0.00
1741200028343,1,0.00
1741200028904,3,0.00
1741200029403,4,0.00
1741200029902,4,0.00
1741200030390,4,0.00
1741200030893,4,0.00
1741200031417,4,0.00
1741200031888,4,0.00
1741200032399,4,0.00
1741200032965,4,0.00
1741200033436,4,0.00
1741200034038,4,0.00
1741200034637,4,0.00
1741200034954,4,0.00
1741200035417,3,0.00
1741200035949,3,0.00
1741200036428,3,0.00
1741200036949,4,0.00
1741200037465,4,0.00
1741200037948,3,0.00
1741200038429,3,0.00
1741200039025,4,0.00
1741200039480,4,0.00
1741200039937,3,0.00
1741200040430,3,0.00
1741200040962,3,0.00
1741200041437,3,0.00
1741200041944,3,0.00
1741200042441,3,0.00
1741200042964,4,0.00
1741200043494,5,0.00
1741200043977,5,0.00
1741200044472,5,0.00
1741200045014,6,0.00
1741200045552,7,0.00
1741200046032,7,0.00
1741200046557,8,0.00
1741200047125,9,0.00
1741200047686,10,0.00
1741200048203,10,0.00
1741200048662,10,0.00
1741200049200,11,0.00
1741200049694,11,0.00
1741200050210,11,0.00
1741200050713,11,0.00
1741200051299,12,0.00
1741200051731,12,0.00
1741200052196,11,0.00
1741200052759,11,0.00
1741200053223,11,0.00
1741200053696,11,0.00
1741200054199,11,0.00
1741200054741,12,0.00
1741200055190,11,0.00
1741200055742,11,0.00
1741200056221,11,0.00
1741200056667,11,0.00
1741200057191,11,0.00
1741200057745,12,0.00
1741200058251,12,0.00
1741200058740,12,0.00
1741200059202,12,0.00
1741200059936,12,0.00
1741200060417,12,0.00
1741200060887,12,0.00
1741200061400,13,0.00
1741200061853,13,0.00
1741200062435,14,0.00
1741200062982,14,0.00
1741200063452,14,0.00
1741200063950,14,0.00
1741200064387,14,0.00
1741200064901,14,0.00
1741200065486,16,0.00
1741200065974,16,0.00
1741200066510,15,0.00
1741200066927,15,0.00
1741200067417,15,0.00
1741200067915,15,0.00
1741200068434,15,0.00
1741200069174,17,0.00
1741200069648,17,0.00
1741200070120,17,0.00
1741200070634,17,0.00
1741200071265,17,0.00
1741200071703,17,0.00
1741200072170,17,0.00
1741200072675,17,0.00
1741200073212,18,0.00
1741200073695,18,0.00
1741200074241,19,0.00
1741200074726,19,0.00
1741200075209,19,0.00
1741200075791,20,0.00
1741200076310,20,0.00
1741200076921,21,0.00
1741200077425,20,0.00
1741200077907,20,0.00
1741200078457,20,0.00
1741200078940,20,0.00
1741200079433,20,0.00
1741200079926,20,0.00
1741200080414,20,0.00
1741200081087,21,0.00
1741200081535,20,0.00
1741200082208,21,0.00
1741200082710,20,0.00
1741200083323,20,0.00
1741200083875,20,0.00
1741200084418,21,0.00
1741200085003,21,0.00
1741200085565,22,0.00
1741200086268,23,0.00
1741200086866,21,0.00
1741200087473,22,0.00
1741200088000,22,0.00
1741200088616,23,0.00
1741200089195,23,0.00
1741200089751,23,0.00
1741200090480,24,0.00
1741200091137,24,0.00
1741200091868,25,0.00
1741200092644,26,0.00
1741200093351,25,0.00
1741200094014,24,0.00
1741200094655,24,0.00
1741200095298,24,0.00
1741200095967,24,0.00
1741200096633,24,0.00
1741200097339,25,0.00
1741200098031,25,0.00
1741200098782,24,0.00
1741200099437,24,0.00
1741200100057,24,0.00
1741200100790,24,0.00
1741200101521,24,0.00
1741200102132,24,0.00
1741200102748,24,0.00
1741200103599,25,0.00
1741200104340,25,0.00
1741200105008,25,0.00
1741200105732,26,0.00
1741200106465,25,0.00
1741200107127,25,0.00
1741200108073,25,0.00
1741200109510,25,0.00
1741200110902,24,0.00
1741200111917,24,0.00
1741200112652,24,0.00
1741200113341,24,0.00
1741200114008,24,0.00
1741200114627,24,0.00
1741200115544,24,0.00
1741200116141,24,0.00
1741200116775,24,0.00
1741200117485,25,0.00
1741200118069,25,0.00
1741200118653,25,0.00
1741200119239,25,0.00
1741200119799,25,0.00
1741200120620,25,0.00
1741200121175,25,0.00
1741200121802,25,0.00
1741200122334,25,0.00
1741200122968,25,0.00
1741200123518,25,0.00
1741200124095,25,0.00
1741200124712,25,0.00
1741200125246,25,0.00
1741200125862,25,0.00
1741200126499,26,0.00
1741200127115,26,0.00
1741200127709,26,0.00
1741200128319,26,0.00
1741200128991,26,0.00
1741200129611,26,0.00
1741200130231,25,0.00
1741200130827,25,0.00
1741200131642,25,0.00
1741200132297,25,0.00
1741200132967,25,0.00
1741200133551,25,0.00
1741200134069,25,0.00
1741200134707,25,0.00
1741200135284,25,0.00
1741200136029,25,0.00
1741200136674,25,0.00
1741200137295,25,0.00
1741200137915,25,0.00
1741200138537,25,0.00
1741200139130,25,0.00
1741200139667,25,0.00
1741200140220,25,0.00
1741200140786,25,0.00
1741200141405,25,0.00
1741200141911,25,0.00
1741200142561,25,0.00
1741200143479,26,0.00
1741200144733,26,0.00
1741200146070,26,0.00
1741200146900,26,0.00
1741200147832,26,0.00
1741200148537,25,0.00
1741200149117,25,0.00
1741200149895,26,0.00
1741200151287,26,0.00
1741200161054,0,0.40
1741200161551,0,1.99
1741200162045,0,0.36
1741200162611,1,34.95
1741200163063,1,26.25
1741200163579,1,46.08
1741200164071,1,30.55
1741200164596,1,45.86
1741200165102,2,48.55
1741200165587,2,48.12
1741200166089,2,51.41
1741200166594,2,52.79
1741200167104,2,57.81
1741200167649,3,90.67
1741200168127,3,86.48
1741200168695,4,134.90
1741200169336,4,154.21
1741200169712,4,137.25
1741200170316,4,166.95
1741200170701,4,130.55
1741200171216,4,144.70
1741200171752,5,177.20
1741200172355,5,286.43
1741200172889,6,300.07
1741200173260,5,196.85
1741200173789,5,225.92
1741200174373,6,297.52
1741200174774,6,210.27
1741200175314,6,242.18
1741200175755,5,194.43
1741200176249,5,184.61
1741200176841,5,246.08
1741200177249,5,181.94
1741200177749,5,174.69
1741200178293,5,204.82
1741200179053,6,353.73
1741200179449,6,350.71
1741200180015,6,400.18
1741200180438,7,298.66
1741200181269,8,592.25
1741200181728,9,390.60
1741200182263,9,446.99
1741200183045,9,725.31
1741200183728,10,595.39
1741200184525,11,621.44
1741200185454,11,854.77
1741200186291,11,767.74
1741200577750,0,0.43
1741200578248,0,0.20
1741200578747,0,0.35
1741200579304,1,20.13
1741200579799,2,39.01
1741200580486,3,199.03
1741200580791,3,52.47
1741200581305,3,58.60
1741200581772,2,27.87
1741200582276,2,25.81
1741200582781,2,29.32
1741200583292,2,41.52
1741200583787,2,32.99
1741200584260,1,11.57
1741200602623,0,0.00
1741200603112,0,0.00
1741200603616,0,0.00
1741200604122,0,0.00
1741200604649,1,0.00
1741200605259,2,0.00
1741200605703,2,0.00
1741200606164,2,0.00
1741200606645,2,0.00
1741200607144,2,0.00
1741200607728,3,0.00
1741200608409,3,0.00
1741200608936,3,0.00
1741200609453,4,0.00
1741200609735,4,0.00
1741200610236,4,0.00
1741200610929,5,0.00
1741200612053,7,0.00
1741200612747,5,0.00
1741200612947,4,0.00
1741200613384,3,0.00
1741200613844,3,0.00
1741200614352,3,0.00
1741200614835,2,0.00
1741200615358,2,0.00
1741200615817,2,0.00
1741200616368,3,0.00
1741200616851,3,0.00
1741200617350,3,0.00
1741200617842,3,0.00
1741200618346,3,0.00
1741200619043,4,0.00
1741200619465,5,0.00
1741200620005,6,0.00
1741200620415,5,0.00
1741200620992,5,0.00
1741200621491,5,0.00
1741200621928,5,0.00
1741200622556,5,0.00
1741200622946,6,0.00
1741200623444,6,0.00
1741200623937,6,0.00
1741200624436,6,0.00
1741200625029,5,0.00
1741200625443,5,0.00
1741200625951,5,0.00
1741200626428,5,0.00
1741200626955,6,0.00
1741200627471,6,0.00
1741200628051,6,0.00
1741200628581,6,0.00
1741200629048,6,0.00
1741200629812,7,0.00
1741200630000,7,0.00
1741200630650,7,0.00
1741200631171,7,0.00
1741200631644,7,0.00
1741200632384,7,0.00
1741200632832,7,0.00
1741200633245,7,0.00
1741200633601,7,0.00
1741200634756,7,0.00
1741200635037,7,0.00
1741200636097,7,0.00
1741200647521,0,0.38
1741200648019,0,0.40
1741200648610,0,0.21
1741200649047,0,0.28
1741200649532,0,0.32
1741200650145,2,60.49
1741200650582,2,46.22
1741200651102,2,57.80
1741200651573,2,38.64
1741200652107,2,49.17
1741200652602,3,55.52
1741200653093,3,51.37
1741200653585,3,55.96
1741200654101,3,58.33
1741200654596,3,56.17
1741200655098,3,54.69
1741200655643,3,64.80
1741200656193,4,102.71
1741200656896,4,174.85
1741200657161,4,93.82
1741200657648,4,85.97
1741200658163,4,101.05
1741200658664,4,97.21
1741200659201,4,116.95
1741200659644,3,75.79
1741200660120,3,57.20
1741200660642,3,73.52
1741200661117,3,54.38
1741200661641,3,73.13
1741200662236,3,154.46
1741200662671,4,85.32
1741200663309,5,203.35
1741200663759,6,174.80
1741200664299,6,204.45
1741200664707,5,140.10
1741200665264,4,192.86
1741200665666,4,98.55
1741200666305,5,194.22
1741200666890,5,268.71
1741200667333,5,201.57
1741200667714,4,101.68
1741200668316,5,188.43
1741200686601,0,0.74
1741200687088,0,0.49
1741200687590,0,0.84
1741200688115,1,12.12
1741200688610,1,8.70
1741200689103,1,7.50
1741200689603,1,6.10
1741200690103,1,8.00
1741200690604,1,6.01
1741200691146,2,30.51
1741200691672,3,59.42
1741200692183,4,72.67
1741200692649,3,47.03
1741200693119,2,18.87
1741200693614,2,15.71
1741200694132,2,21.19
1741200694616,2,16.58
1741200695123,2,24.25
1741200695617,2,16.45
1741200696120,2,17.07
1741200696775,2,51.03
1741200697328,2,24.16
1741200697636,2,18.55
1741200698123,2,14.60
1741200698694,2,17.49
1741200699126,2,14.69
1741200699671,3,54.33
1741200700157,3,48.78
1741200700644,3,39.67
1741200701164,3,60.32
1741200701645,3,43.11
1741200702138,3,32.64
1741200702675,3,53.04
1741200703202,4,82.40
1741200703694,5,77.74
1741200704192,5,85.21
1741200704686,5,78.42
1741200705167,4,62.05
1741200705682,4,75.77
1741200706147,3,39.96
1741200706647,3,39.93
1741200707139,3,33.64
1741200707691,4,70.01
1741200708159,3,45.44
1741200708634,2,27.78
1741200709151,2,36.25
1741200709628,2,20.87
1741200710169,3,51.16
1741200710665,3,55.80
1741200711142,3,32.50
1741200711645,3,36.71
1741200712160,3,43.26
1741200712664,3,51.99
1741200713167,3,58.53
1741200713725,3,70.28
1741200714450,3,138.63
1741200714834,3,54.01
1741200715316,3,52.41
1741200715819,3,42.96
1741200716348,3,59.75
1741200716828,3,44.39
1741200717371,3,96.05
1741200717904,3,103.28
1741200718399,3,127.15
1741200733095,0,0.00
1741200733594,0,0.00
1741200734129,1,0.00
1741200734597,1,0.00
1741200735094,1,0.00
1741200735611,1,0.00
1741200736089,1,0.00
1741200736601,1,0.00
1741200737088,1,0.00
1741200737590,1,0.00
1741200738093,1,0.00
1741200738602,1,0.00
1741200739153,2,0.00
1741200739629,2,0.00
1741200740139,2,0.00
1741200740633,2,0.00
1741200741150,2,0.00
1741200741732,2,0.00
1741200742119,2,0.00
1741200742621,2,0.00
1741200743161,2,0.00
1741200743711,3,0.00
1741200744169,3,0.00
1741200744854,3,0.00
1741200745179,2,0.00
1741200745680,2,0.00
1741200746191,2,0.00
1741200746829,3,0.00
1741200747202,3,0.00
1741200747707,3,0.00
1741200748356,4,0.00
1741200748706,4,0.00
