tick_number,timestamp,total_tick_time_ms
62,1741200634769,863.97
63,1741200635054,283.94
64,1741200636102,830.50
1,1741200647530,41.86
2,1741200648026,37.18
3,1741200648622,131.55
4,1741200649052,60.51
5,1741200649541,49.41
6,1741200650149,155.34
7,1741200650586,91.79
8,1741200651113,118.27
9,1741200651577,80.95
10,1741200652113,116.39
11,1741200652607,110.11
12,1741200653096,99.32
13,1741200653612,114.59
14,1741200654104,106.47
15,1741200654600,102.09
16,1741200655103,104.43
17,1741200655655,129.19
18,1741200656198,171.69
19,1741200656900,373.14
20,1741200657166,139.56
21,1741200657657,128.95
22,1741200658171,143.49
23,1741200658669,140.91
24,1741200659209,181.34
25,1741200659649,121.60
26,1741200660124,95.93
27,1741200660650,121.91
28,1741200661122,92.60
29,1741200661655,124.82
30,1741200662247,216.29
31,1741200662678,146.71
32,1741200663314,280.74
33,1741200663764,229.83
34,1741200664304,269.85
35,1741200664712,177.10
36,1741200665269,233.43
37,1741200665672,135.81
38,1741200666308,271.71
39,1741200666899,322.02
40,1741200667344,266.72
41,1741200667718,141.27
42,1741200668321,243.60
1,1741200686603,37.21
2,1741200687090,23.73
3,1741200687593,26.34
4,1741200688116,49.24
5,1741200688611,43.05
6,1741200689104,34.95
7,1741200689605,34.45
8,1741200690105,33.31
9,1741200690606,33.69
10,1741200691148,74.79
11,1741200691675,100.55
12,1741200692184,109.63
13,1741200692651,76.23
14,1741200693120,45.39
15,1741200693616,39.92
16,1741200694133,57.56
17,1741200694617,41.68
18,1741200695126,50.46
19,1741200695619,42.50
20,1741200696122,45.38
21,1741200696777,195.94
22,1741200697330,247.42
23,1741200697637,53.84
24,1741200698126,42.14
25,1741200698697,113.08
26,1741200699133,48.97
27,1741200699672,88.86
28,1741200700159,75.08
29,1741200700646,61.92
30,1741200701165,81.14
31,1741200701647,62.43
32,1741200702139,53.66
33,1741200702676,90.55
34,1741200703204,117.93
35,1741200703695,109.37
36,1741200704206,120.68
37,1741200704687,102.01
38,1741200705168,82.40
39,1741200705684,97.28
40,1741200706148,61.79
41,1741200706648,61.36
42,1741200707146,58.65
43,1741200707693,105.62
44,1741200708160,73.04
45,1741200708635,48.43
46,1741200709155,68.47
47,1741200709629,41.77
48,1741200710170,81.83
49,1741200710666,78.07
50,1741200711144,54.64
51,1741200711648,59.03
52,1741200712162,73.06
53,1741200712667,76.59
54,1741200713169,80.25
55,1741200713745,155.20
56,1741200714451,205.74
57,1741200714836,91.00
58,1741200715317,72.23
59,1741200715821,75.93
60,1741200716351,104.54
61,1741200716832,82.06
62,1741200717372,121.96
63,1741200717906,154.84
64,1741200718401,149.81
1,1741200733100,55.96
2,1741200733599,55.00
3,1741200734134,90.02
4,1741200734601,53.85
5,1741200735098,51.07
6,1741200735615,68.77
7,1741200736094,47.41
8,1741200736605,57.74
9,1741200737092,45.20
10,1741200737594,46.73
11,1741200738096,48.00
12,1741200738606,57.12
13,1741200739157,108.56
14,1741200739634,84.83
15,1741200740144,94.89
16,1741200740637,87.26
17,1741200741153,101.53
18,1741200741737,185.40
19,1741200742122,69.43
20,1741200742626,72.36
21,1741200743165,110.62
22,1741200743715,159.54
23,1741200744172,116.50
24,1741200744862,305.22
25,1741200745184,124.82
26,1741200745686,84.57
27,1741200746195,91.56
28,1741200746833,228.98
29,1741200747204,100.76
30,1741200747710,107.00
31,1741200748371,267.10
32,1741200748710,103.38
